0000000_11110_11110_000_00001_0110011  // add x1,x30,x30
000000000001_00000_000_01010_0010011  // addi x10,x0,1
0000000_01001_11011_000_00010_0110011  // add x2,x27,x9
000000000010_00000_000_01010_0010011  // addi x10,x0,2
0000000_00011_00100_000_00011_0110011  // add x3,x4,x3
000000000011_00000_000_11111_0010011  // addi x31,x0,3
0000000_10001_11011_000_00100_0110011  // add x4,x27,x17
000000000100_00000_000_10011_0010011  // addi x19,x0,4
0000000_10101_11110_001_00101_0110011  // sll x5,x30,x21
000000000101_00000_000_11001_0010011  // addi x25,x0,5
0000001_00011_01011_000_00110_0110011  // mul x6,x11,x3
000000000110_00000_000_11000_0010011  // addi x24,x0,6
0000000_00010_10101_000_00111_0110011  // add x7,x21,x2
000000000111_00000_000_01110_0010011  // addi x14,x0,7
0000001_00110_01110_000_01000_0110011  // mul x8,x14,x6
000000001000_00000_000_01001_0010011  // addi x9,x0,8
0000001_10010_10010_000_01001_0110011  // mul x9,x18,x18
000000001001_00000_000_11110_0010011  // addi x30,x0,9
0000000_01000_10110_000_01011_0110011  // add x11,x22,x8
000000001011_00000_000_11000_0010011  // addi x24,x0,11
0000000_01011_01010_100_01100_0110011  // xor x12,x10,x11
000000001100_00000_000_01010_0010011  // addi x10,x0,12
0000000_01100_10000_001_01101_0110011  // sll x13,x16,x12
000000001101_00000_000_10010_0010011  // addi x18,x0,13
0000000_11000_11101_100_01110_0110011  // xor x14,x29,x24
000000001110_00000_000_11011_0010011  // addi x27,x0,14
0000000_01001_00100_001_01111_0110011  // sll x15,x4,x9
000000001111_00000_000_10000_0010011  // addi x16,x0,15
0000001_01000_10111_000_10000_0110011  // mul x16,x23,x8
000000010000_00000_000_01010_0010011  // addi x10,x0,16
0000000_10101_01100_100_10001_0110011  // xor x17,x12,x21
000000010001_00000_000_00111_0010011  // addi x7,x0,17
0000001_01111_01100_000_10010_0110011  // mul x18,x12,x15
000000010010_00000_000_01110_0010011  // addi x14,x0,18
0000000_01100_01001_000_10011_0110011  // add x19,x9,x12
000000010011_00000_000_00111_0010011  // addi x7,x0,19
010000001111_11110_101_10100_0010011  // srai x20,x30,15
000000010100_00000_000_11101_0010011  // addi x29,x0,20
0000001_11111_00111_000_10101_0110011  // mul x21,x7,x31
000000010101_00000_000_11111_0010011  // addi x31,x0,21
0000000_00011_01111_000_10110_0110011  // add x22,x15,x3
000000010110_00000_000_01110_0010011  // addi x14,x0,22
0000000_11101_00001_001_10111_0110011  // sll x23,x1,x29
000000010111_00000_000_01010_0010011  // addi x10,x0,23
0000000_01100_00100_000_11000_0110011  // add x24,x4,x12
000000011000_00000_000_00110_0010011  // addi x6,x0,24
0100000_10001_10010_000_11001_0110011  // sub x25,x18,x17
000000011001_00000_000_10111_0010011  // addi x23,x0,25
0100000_11011_10001_000_11010_0110011  // sub x26,x17,x27
000000011010_00000_000_01100_0010011  // addi x12,x0,26
0000000_10011_01000_111_11011_0110011  // and x27,x8,x19
000000011011_00000_000_00110_0010011  // addi x6,x0,27
0000000_10010_11011_001_11100_0110011  // sll x28,x27,x18
000000011100_00000_000_11001_0010011  // addi x25,x0,28
0000000_11110_10000_111_11101_0110011  // and x29,x16,x30
000000011101_00000_000_01111_0010011  // addi x15,x0,29
0000000_01010_10101_111_11110_0110011  // and x30,x21,x10
000000011110_00000_000_01010_0010011  // addi x10,x0,30
0000000_10000_01000_000_11111_0110011  // add x31,x8,x16
000000011111_00000_000_10011_0010011  // addi x19,x0,31
00000000000000000000000000000000  // EOF
