000000001010_00000_000_00001_0010011  // addi x1,x0,10
000000001101_00000_000_00010_0010011  // addi x2,x0,13
0000000_00010_00001_000_00011_0110011  // add x3,x1,x2
000000000011_00000_000_01010_0010011  // addi x10,x0,3
000000000101_00000_000_00100_0010011  // addi x4,x0,5
0100000_00100_01010_000_00101_0110011  // sub x5,x10,x4
000000000101_00000_000_01010_0010011  // addi x10,x0,5
000000000011_00000_000_00110_0010011  // addi x6,x0,3
0000000_00110_01010_100_00111_0110011  // xor x7,x10,x6
000000000111_00000_000_01010_0010011  // addi x10,x0,7
000000000010_00000_000_01000_0010011  // addi x8,x0,2
0000001_01000_01010_000_01001_0110011  // mul x9,x10,x8
000000001001_00000_000_01010_0010011  // addi x10,x0,9
000000000100_00000_000_01011_0010011  // addi x11,x0,4
0000000_01011_01010_000_01100_0110011  // add x12,x10,x11
000000001100_00000_000_01010_0010011  // addi x10,x0,12
010000000001_01010_101_01101_0010011  // srai x13,x10,1
000000001101_00000_000_01010_0010011  // addi x10,x0,13
000000000111_00000_000_01110_0010011  // addi x14,x0,7
0000000_01110_01010_111_01111_0110011  // and x15,x10,x14
000000001111_00000_000_01010_0010011  // addi x10,x0,15
000000001000_00000_000_10000_0010011  // addi x16,x0,8
0100000_10000_01010_000_10001_0110011  // sub x17,x10,x16
000000010001_00000_000_01010_0010011  // addi x10,x0,17
000000000010_00000_000_10010_0010011  // addi x18,x0,2
0000000_10010_01010_001_10011_0110011  // sll x19,x10,x18
000000010011_00000_000_01010_0010011  // addi x10,x0,19
000000000110_00000_000_10100_0010011  // addi x20,x0,6
0000000_10100_01010_000_10101_0110011  // add x21,x10,x20
000000010101_00000_000_01010_0010011  // addi x10,x0,21
000000000001_00000_000_10110_0010011  // addi x22,x0,1
0100000_10110_01010_000_10111_0110011  // sub x23,x10,x22
000000010111_00000_000_01010_0010011  // addi x10,x0,23
000000001100_00000_000_11000_0010011  // addi x24,x0,12
0000000_11000_01010_100_11001_0110011  // xor x25,x10,x24
000000011001_00000_000_01010_0010011  // addi x10,x0,25
000000000010_00000_000_11010_0010011  // addi x26,x0,2
0000001_11010_01010_000_11011_0110011  // mul x27,x10,x26
000000011011_00000_000_01010_0010011  // addi x10,x0,27
000000001111_00000_000_11100_0010011  // addi x28,x0,15
0000000_11100_01010_000_11101_0110011  // add x29,x10,x28
000000011101_00000_000_01010_0010011  // addi x10,x0,29
00000000000000000000000000000000  // EOF
